,Unnamed: 0,idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family,rxn_smiles,rxn_smiles_random,rxn_smiles_rxnmapper,rxn_smiles_nomapping
161,161,164,[C:1]([N:2](/[C:3](=[N:4]\[H:11])[C:5](=[O:6])[H:12])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2]([C:3]#[N:4])[H:10])([H:7])([H:8])[H:9].[C:5](=[O:6])([H:11])[H:12],"InChI=1S/C3H6N2O/c1-5-3(4)2-6/h2H,1H3,(H2,4,5)","InChI=1S/C2H4N2.CH2O/c1-4-2-3;1-2/h4H,1H3;1H2",84.18222,25.81787,,[C:1]([N:2](/[C:3](=[N:4]\[H:11])[C:5](=[O:6])[H:12])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]([C:3]#[N:4])[H:10])([H:7])([H:8])[H:9].[C:5](=[O:6])([H:11])[H:12],[C:1](\[N:2]([C:5]([H:9])([H:11])[H:12])[H:10])([C:3](=[O:6])[H:7])=[N:4]\[H:8]>>[C:1]([N:2]([C:3]#[N:4])[H:10])([H:7])([H:8])[H:9].[C:5](=[O:6])([H:11])[H:12],[H]/[N:6]=[C:5](/[CH:1]=[O:2])[NH:4][CH3:3]>>[CH2:1]=[O:2].[CH3:3][NH:4][C:5]#[N:6],[C]([N](/[C](=[N]\[H])[C](=[O])[H])[H])([H])([H])[H]>>[C]([N]([C]#[N])[H])([H])([H])[H].[C](=[O])([H])[H]
162,162,165,[C:1]([O:2][C:3](=[O:4])[C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[O:2])([H:8])[H:9].[C:3](=[O:4])([C:5]([O:6][H:12])([H:10])[H:11])[H:7],"InChI=1S/C3H6O3/c1-6-3(5)2-4/h4H,2H2,1H3","InChI=1S/C2H4O2.CH2O/c3-1-2-4;1-2/h1,4H,2H2;1H2",78.14563,34.86844,,[C:1]([O:2][C:3](=[O:4])[C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1](=[O:2])([H:8])[H:9].[C:3](=[O:4])([C:5]([O:6][H:12])([H:10])[H:11])[H:7],[C:1]([O:6][C:5](=[O:2])[C:3]([O:4][H:7])([H:10])[H:11])([H:8])([H:9])[H:12]>>[C:1](=[O:2])([H:8])[H:9].[C:3](=[O:4])([C:5]([O:6][H:12])([H:10])[H:11])[H:7],[C:1](=[O:2])([O:3][CH3:4])[CH2:5][OH:6]>>[CH2:1]=[O:2].[O:3]=[CH:4][CH2:5][OH:6],[C]([O][C](=[O])[C]([O][H])([H])[H])([H])([H])[H]>>[C](=[O])([H])[H].[C](=[O])([C]([O][H])([H])[H])[H]
163,163,166,[C:1]([O:2][C:3](=[O:4])[C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O+:2]=[C-:3][O:4][C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C3H6O3/c1-6-3(5)2-4/h4H,2H2,1H3","InChI=1S/C3H6O3/c1-5-3-6-2-4/h4H,2H2,1H3",97.29357,53.57599,,[C:1]([O:2][C:3](=[O:4])[C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O+:2]=[C-:3][O:4][C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:6][C:5]([C:3]([O:2][H:12])([H:9])[H:10])=[O:4])([H:7])([H:8])[H:11]>>[C:1]([O+:2]=[C-:3][O:4][C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[CH3:1][O:2][C:3](=[O:4])[CH2:5][OH:6]>>[CH3:1][O+:2]=[C-:3][O:4][CH2:5][OH:6],[C]([O][C](=[O])[C]([O][H])([H])[H])([H])([H])[H]>>[C]([O+]=[C-][O][C]([O][H])([H])[H])([H])([H])[H]
164,164,167,[C:1]([O:2][C:3](=[O:4])[C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3](=[O:4])[C:5](=[O:6])[H:11])([H:7])([H:8])[H:9].[H:10][H:12],"InChI=1S/C3H6O3/c1-6-3(5)2-4/h4H,2H2,1H3","InChI=1S/C3H4O3.H2/c1-6-3(5)2-4;/h2H,1H3;1H",96.39103,26.96616,,[C:1]([O:2][C:3](=[O:4])[C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3](=[O:4])[C:5](=[O:6])[H:11])([H:7])([H:8])[H:9].[H:10][H:12],[C:1](=[O:2])([C:5]([O:4][H:11])([H:7])[H:8])[O:6][C:3]([H:9])([H:10])[H:12]>>[C:1]([O:2][C:3](=[O:4])[C:5](=[O:6])[H:11])([H:7])([H:8])[H:9].[H:10][H:12],[CH3:1][O:2][C:3](=[O:4])[CH2:5][OH:6]>>[CH3:1][O:2][C:3](=[O:4])[CH:5]=[O:6].[H:7][H:8],[C]([O][C](=[O])[C]([O][H])([H])[H])([H])([H])[H]>>[C]([O][C](=[O])[C](=[O])[H])([H])([H])[H].[H][H]
165,165,168,[C:1]([O:2][C:3](=[O:4])[C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C@:3]1([O:4][H:12])[C:5]([H:10])([H:11])[O:6]1)([H:7])([H:8])[H:9],"InChI=1S/C3H6O3/c1-6-3(5)2-4/h4H,2H2,1H3","InChI=1S/C3H6O3/c1-5-3(4)2-6-3/h4H,2H2,1H3/t3-/m1/s1",56.56064,34.19461,,[C:1]([O:2][C:3](=[O:4])[C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C@:3]1([O:4][H:12])[C:5]([H:10])([H:11])[O:6]1)([H:7])([H:8])[H:9],[C:1]([O:6][C:5](=[O:2])[C:3]([O:4][H:12])([H:8])[H:11])([H:7])([H:9])[H:10]>>[C:1]([O:2][C@:3]1([O:4][H:12])[C:5]([H:10])([H:11])[O:6]1)([H:7])([H:8])[H:9],[CH3:1][O:2][C:3](=[O:4])[CH2:5][OH:6]>>[CH3:1][O:2][C@:3]1([OH:4])[CH2:5][O:6]1,[C]([O][C](=[O])[C]([O][H])([H])[H])([H])([H])[H]>>[C]([O][C@]1([O][H])[C]([H])([H])[O]1)([H])([H])[H]
166,166,169,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][C:4]([O+:6]=[C-:5][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3","InChI=1S/C4H8O2/c1-3-6-4-5-2/h2H,3-4H2,1H3",100.9833,58.0253,,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][C:4]([O+:6]=[C-:5][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:6][C:4]([C:5](=[O:3])[H:10])([H:9])[H:12])([H:8])[H:13])([H:7])([H:11])[H:14]>>[C:1]([C:2]([O:3][C:4]([O+:6]=[C-:5][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[CH:1](=[O:2])[CH2:3][O:4][CH2:5][CH3:6]>>[CH-:1]=[O+:2][CH2:3][O:4][CH2:5][CH3:6],[C]([C]([O][C]([C](=[O])[H])([H])[H])([H])[H])([H])([H])[H]>>[C]([C]([O][C]([O+]=[C-][H])([H])[H])([H])[H])([H])([H])[H]
167,167,170,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3]/[C:4](=[C:5](/[O:6][H:13])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3","InChI=1S/C4H8O2/c1-2-6-4-3-5/h3-5H,2H2,1H3/b4-3+",66.79423,8.6195,ketoenol,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3]/[C:4](=[C:5](/[O:6][H:13])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:4]([O:3][C:5]([C:2]([H:12])([H:13])[H:14])([H:8])[H:10])([H:9])[H:11])(=[O:6])[H:7]>>[C:1]([C:2]([O:3]/[C:4](=[C:5](/[O:6][H:13])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[CH3:1][CH2:2][O:3][CH2:4][CH:5]=[O:6]>>[CH3:1][CH2:2][O:3]/[CH:4]=[CH:5]/[OH:6],[C]([C]([O][C]([C](=[O])[H])([H])[H])([H])[H])([H])([H])[H]>>[C]([C]([O]/[C](=[C](/[O][H])[H])[H])([H])[H])([H])([H])[H]
168,168,171,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][C:4]([H:12])([H:13])[C@@:5]1([O:6][H:7])[H:14],"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3","InChI=1S/C4H8O2/c5-4-1-2-6-3-4/h4-5H,1-3H2/t4-/m1/s1",79.16126,-4.71154,,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][C:4]([H:12])([H:13])[C@@:5]1([O:6][H:7])[H:14],[C:1]([O:3][C:2]([C:4]([H:7])([H:9])[H:11])([H:8])[H:14])([C:5](=[O:6])[H:13])([H:10])[H:12]>>[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][C:4]([H:12])([H:13])[C@@:5]1([O:6][H:7])[H:14],[O:1]=[CH:2][CH2:4][O:5][CH2:6][CH3:3]>>[OH:1][C@@H:2]1[CH2:3][CH2:4][O:5][CH2:6]1,[C]([C]([O][C]([C](=[O])[H])([H])[H])([H])[H])([H])([H])[H]>>[C]1([H])([H])[C]([H])([H])[O][C]([H])([H])[C@@]1([O][H])[H]
169,169,172,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[O+:3][C:4](=[C:5]([O-:6])[H:14])[H:12])[H:11])([H:7])([H:8])[H:9].[H:10][H:13],"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3","InChI=1S/C4H6O2.H2/c1-2-6-4-3-5;/h2-4H,1H3;1H",70.00291,63.18131,,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O+:3][C:4](=[C:5]([O-:6])[H:14])[H:12])[H:11])([H:7])([H:8])[H:9].[H:10][H:13],[C:1]([O:3][C:4]([C:2](=[O:6])[H:14])([H:11])[H:12])([C:5]([H:8])([H:9])[H:13])([H:7])[H:10]>>[C:1]([C:2](=[O+:3][C:4](=[C:5]([O-:6])[H:14])[H:12])[H:11])([H:7])([H:8])[H:9].[H:10][H:13],[CH3:1][CH2:2][O:3][CH2:4][CH:5]=[O:6]>>[CH3:1][CH:2]=[O+:3][CH:4]=[CH:5][O-:6].[H:7][H:8],[C]([C]([O][C]([C](=[O])[H])([H])[H])([H])[H])([H])([H])[H]>>[C]([C](=[O+][C](=[C]([O-])[H])[H])[H])([H])([H])[H].[H][H]
170,170,173,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([H:7])([H:8])([H:9])[H:13].[C:2](=[O+:3][C:4](=[C:5]([O-:6])[H:14])[H:12])([H:10])[H:11],"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3","InChI=1S/C3H4O2.CH4/c1-5-3-2-4;/h2-3H,1H2;1H4",86.86881,59.57265,,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([H:7])([H:8])([H:9])[H:13].[C:2](=[O+:3][C:4](=[C:5]([O-:6])[H:14])[H:12])([H:10])[H:11],[C:1](=[O:3])([C:4]([O:6][C:2]([C:5]([H:7])([H:8])[H:11])([H:9])[H:10])([H:12])[H:13])[H:14]>>[C:1]([H:7])([H:8])([H:9])[H:13].[C:2](=[O+:3][C:4](=[C:5]([O-:6])[H:14])[H:12])([H:10])[H:11],[CH3:1][CH2:2][O:3][CH2:4][CH:5]=[O:6]>>[CH4:1].[CH2:2]=[O+:3][CH:4]=[CH:5][O-:6],[C]([C]([O][C]([C](=[O])[H])([H])[H])([H])[H])([H])([H])[H]>>[C]([H])([H])([H])[H].[C](=[O+][C](=[C]([O-])[H])[H])([H])[H]
171,171,174,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C-:5]#[O+:6].[C:1]([C:2]([H:10])([H:11])[H:14])([H:7])([H:8])[H:9].[O:3]=[C:4]([H:12])[H:13],"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3",InChI=1S/C2H6.CH2O.CO/c3*1-2/h1-2H3;1H2;,71.29562,3.43614,,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C-:5]#[O+:6].[C:1]([C:2]([H:10])([H:11])[H:14])([H:7])([H:8])[H:9].[O:3]=[C:4]([H:12])[H:13],[C:1]([C:2]([H:8])([H:12])[H:13])([O:3][C:5]([C:4](=[O:6])[H:9])([H:7])[H:11])([H:10])[H:14]>>[C-:5]#[O+:6].[C:1]([C:2]([H:10])([H:11])[H:14])([H:7])([H:8])[H:9].[O:3]=[C:4]([H:12])[H:13],[CH:1](=[O:2])[CH2:5][O:6][CH2:3][CH3:4]>>[CH2:1]=[O:2].[CH3:3][CH3:4].[C-:5]#[O+:6],[C]([C]([O][C]([C](=[O])[H])([H])[H])([H])[H])([H])([H])[H]>>[C-]#[O+].[C]([C]([H])([H])[H])([H])([H])[H].[O]=[C]([H])[H]
172,172,175,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][O:6][C:5](=[C:4]([H:12])[H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3","InChI=1S/C4H8O2/c1-3-5-6-4-2/h3H,1,4H2,2H3",88.13821,60.11976,ketoenol,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][O:6][C:5](=[C:4]([H:12])[H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:5]([O:3][C:2]([C:4]([H:7])([H:13])[H:14])([H:11])[H:12])([H:8])[H:9])(=[O:6])[H:10]>>[C:1]([C:2]([O:3][O:6][C:5](=[C:4]([H:12])[H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[CH2:1]([CH:2]=[O:3])[O:4][CH2:5][CH3:6]>>[CH2:1]=[CH:2][O:3][O:4][CH2:5][CH3:6],[C]([C]([O][C]([C](=[O])[H])([H])[H])([H])[H])([H])([H])[H]>>[C]([C]([O][O][C](=[C]([H])[H])[H])([H])[H])([H])([H])[H]
173,173,176,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][C@:5]1([H:14])[C:4]([H:12])([H:13])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3","InChI=1S/C4H8O2/c1-2-5-4-3-6-4/h4H,2-3H2,1H3/t4-/m0/s1",76.235,15.94466,,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][C@:5]1([H:14])[C:4]([H:12])([H:13])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:4]([H:8])([H:11])[H:12])([O:6][C:5]([C:2](=[O:3])[H:7])([H:9])[H:10])([H:13])[H:14]>>[C:1]([C:2]([O:3][C@:5]1([H:14])[C:4]([H:12])([H:13])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9],[CH3:1][CH2:2][O:3][CH2:4][CH:5]=[O:6]>>[CH3:1][CH2:2][O:3][C@@H:4]1[CH2:5][O:6]1,[C]([C]([O][C]([C](=[O])[H])([H])[H])([H])[H])([H])([H])[H]>>[C]([C]([O][C@]1([H])[C]([H])([H])[O]1)([H])[H])([H])([H])[H]
174,174,177,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[O:3])[H:11])([H:7])([H:8])[H:9].[C:4](=[C:5]([O:6][H:10])[H:14])([H:12])[H:13],"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3","InChI=1S/2C2H4O/c2*1-2-3/h2H,1H3;2-3H,1H2",56.12558,8.17703,Retroene,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])[H:11])([H:7])([H:8])[H:9].[C:4](=[C:5]([O:6][H:10])[H:14])([H:12])[H:13],[C:1]([C:4]([O:3][C:2]([C:5](=[O:6])[H:9])([H:10])[H:12])([H:11])[H:14])([H:7])([H:8])[H:13]>>[C:1]([C:2](=[O:3])[H:11])([H:7])([H:8])[H:9].[C:4](=[C:5]([O:6][H:10])[H:14])([H:12])[H:13],[CH3:1][CH2:2][O:3][CH2:4][CH:5]=[O:6]>>[CH2:1]=[CH:2][OH:3].[CH3:4][CH:5]=[O:6],[C]([C]([O][C]([C](=[O])[H])([H])[H])([H])[H])([H])([H])[H]>>[C]([C](=[O])[H])([H])([H])[H].[C](=[C]([O][H])[H])([H])[H]
175,175,178,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]([H:10])[H:11])([H:8])[H:9].[O:3]([C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])[H:7],"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3","InChI=1S/C2H4O2.C2H4/c3-1-2-4;1-2/h1,4H,2H2;1-2H2",65.98931,16.57592,"1,3_Insertion_ROR",[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([H:10])[H:11])([H:8])[H:9].[O:3]([C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])[H:7],[C:1]([C:5]([O:3][C:2]([C:4]([H:9])([H:12])[H:13])([H:10])[H:11])([H:8])[H:14])(=[O:6])[H:7]>>[C:1](=[C:2]([H:10])[H:11])([H:8])[H:9].[O:3]([C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])[H:7],[CH2:1]([CH3:2])[O:6][CH2:5][CH:4]=[O:3]>>[CH2:1]=[CH2:2].[O:3]=[CH:4][CH2:5][OH:6],[C]([C]([O][C]([C](=[O])[H])([H])[H])([H])[H])([H])([H])[H]>>[C](=[C]([H])[H])([H])[H].[O]([C]([C](=[O])[H])([H])[H])[H]
176,176,179,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][C:4](=[C:5]=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[H:13][H:14],"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3","InChI=1S/C4H6O2.H2/c1-2-6-4-3-5;/h4H,2H2,1H3;1H",79.91016,37.93336,,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][C:4](=[C:5]=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[H:13][H:14],[C:1]([C:2]([O:3][C:4]([C:5]([H:7])([H:9])[H:10])([H:8])[H:14])([H:12])[H:13])(=[O:6])[H:11]>>[C:1]([C:2]([O:3][C:4](=[C:5]=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[H:13][H:14],[CH3:1][CH2:2][O:3][CH2:4][CH:5]=[O:6]>>[CH3:1][CH2:2][O:3][CH:4]=[C:5]=[O:6].[H:7][H:8],[C]([C]([O][C]([C](=[O])[H])([H])[H])([H])[H])([H])([H])[H]>>[C]([C]([O][C](=[C]=[O])[H])([H])[H])([H])([H])[H].[H][H]
177,177,180,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11],[C:1]1([H:6])([H:7])[O:2][C@:5]1([C:4](=[C:3]([H:8])[H:9])[H:10])[H:11],"InChI=1S/C4H6O/c1-2-4-5-3-1/h1-2H,3-4H2","InChI=1S/C4H6O/c1-2-4-3-5-4/h2,4H,1,3H2/t4-/m0/s1",72.98214,18.87534,,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11]>>[C:1]1([H:6])([H:7])[O:2][C@:5]1([C:4](=[C:3]([H:8])[H:9])[H:10])[H:11],[C:1]1([H:7])=[C:5]([H:10])[C:3]([H:6])([H:8])[O:2][C:4]1([H:9])[H:11]>>[C:1]1([H:6])([H:7])[O:2][C@:5]1([C:4](=[C:3]([H:8])[H:9])[H:10])[H:11],[CH2:1]1[CH:2]=[CH:3][CH2:4][O:5]1>>[CH2:1]=[CH:2][C@H:3]1[CH2:4][O:5]1,[C]1([H])([H])[O][C]([H])([H])[C]([H])=[C]1[H]>>[C]1([H])([H])[O][C@]1([C](=[C]([H])[H])[H])[H]
178,178,181,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11],[C:1]([O:2][C:3]([C:4](=[C:5])[H:10])([H:8])[H:9])([H:6])([H:7])[H:11],"InChI=1S/C4H6O/c1-2-4-5-3-1/h1-2H,3-4H2","InChI=1S/C4H6O/c1-3-4-5-2/h3H,4H2,2H3",79.57547,76.27015,,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11]>>[C:1]([O:2][C:3]([C:4](=[C:5])[H:10])([H:8])[H:9])([H:6])([H:7])[H:11],[C:1]1([H:10])=[C:5]([H:11])[C:4]([H:6])([H:8])[O:2][C:3]1([H:7])[H:9]>>[C:1]([O:2][C:3]([C:4](=[C:5])[H:10])([H:8])[H:9])([H:6])([H:7])[H:11],[CH:1]1=[CH:2][CH2:3][O:4][CH2:5]1>>[C:1]=[CH:2][CH2:3][O:4][CH3:5],[C]1([H])([H])[O][C]([H])([H])[C]([H])=[C]1[H]>>[C]([O][C]([C](=[C])[H])([H])[H])([H])([H])[H]
179,179,182,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11],[C:1]([O:2][H:8])(/[C:5](=[C:4](\[C:3][H:9])[H:10])[H:11])([H:6])[H:7],"InChI=1S/C4H6O/c1-2-4-5-3-1/h1-2H,3-4H2","InChI=1S/C4H6O/c1-2-3-4-5/h1-3,5H,4H2/b3-2-",75.47668,71.09077,,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11]>>[C:1]([O:2][H:8])(/[C:5](=[C:4](\[C:3][H:9])[H:10])[H:11])([H:6])[H:7],[C:1]1([H:7])([H:8])[O:2][C:3]([H:6])([H:10])[C:5]([H:11])=[C:4]1[H:9]>>[C:1]([O:2][H:8])(/[C:5](=[C:4](\[C:3][H:9])[H:10])[H:11])([H:6])[H:7],[CH2:1]1[CH:2]=[CH:3][CH2:4][O:5]1>>[CH:1]/[CH:2]=[CH:3]\[CH2:4][OH:5],[C]1([H])([H])[O][C]([H])([H])[C]([H])=[C]1[H]>>[C]([O][H])(/[C](=[C](\[C][H])[H])[H])([H])[H]
180,180,183,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11],[C:1]1([H:6])([H:7])[O+:2]=[C-:3][C:4]([H:10])=[C:5]1[H:11].[H:8][H:9],"InChI=1S/C4H6O/c1-2-4-5-3-1/h1-2H,3-4H2","InChI=1S/C4H4O.H2/c1-2-4-5-3-1;/h1-2H,3H2;1H",78.5279,59.55216,,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11]>>[C:1]1([H:6])([H:7])[O+:2]=[C-:3][C:4]([H:10])=[C:5]1[H:11].[H:8][H:9],[C:1]1([H:8])([H:10])[O:2][C:5]([H:6])([H:9])[C:3]([H:11])=[C:4]1[H:7]>>[C:1]1([H:6])([H:7])[O+:2]=[C-:3][C:4]([H:10])=[C:5]1[H:11].[H:8][H:9],[CH2:1]1[O:2][CH2:3][CH:4]=[CH:5]1>>[C-:1]1=[O+:2][CH2:3][CH:4]=[CH:5]1.[H:6][H:7],[C]1([H])([H])[O][C]([H])([H])[C]([H])=[C]1[H]>>[C]1([H])([H])[O+]=[C-][C]([H])=[C]1[H].[H][H]
181,181,184,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11],[C:1]1([H:6])=[C:5]=[C:4]([H:10])[C:3]([H:8])([H:9])[O:2]1.[H:7][H:11],"InChI=1S/C4H6O/c1-2-4-5-3-1/h1-2H,3-4H2","InChI=1S/C4H4O.H2/c1-2-4-5-3-1;/h1,4H,3H2;1H",96.8054,75.62492,,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11]>>[C:1]1([H:6])=[C:5]=[C:4]([H:10])[C:3]([H:8])([H:9])[O:2]1.[H:7][H:11],[C:1]1([H:8])([H:11])[O:2][C:5]([H:7])([H:9])[C:4]([H:10])=[C:3]1[H:6]>>[C:1]1([H:6])=[C:5]=[C:4]([H:10])[C:3]([H:8])([H:9])[O:2]1.[H:7][H:11],[CH:1]1=[CH:2][CH2:3][O:4][CH2:5]1>>[C:1]1=[CH:2][CH2:3][O:4][CH:5]=1.[H:6][H:7],[C]1([H])([H])[O][C]([H])([H])[C]([H])=[C]1[H]>>[C]1([H])=[C]=[C]([H])[C]([H])([H])[O]1.[H][H]
